Team,Year,Matches,Wins,Draws,Losses,Points_Per_Match
South Africa,2026,1,0,0,1,0.0
South Africa,2025,16,8,6,2,1.88
South Africa,2024,17,9,6,2,1.94
South Africa,2023,9,4,4,1,1.78
South Africa,2022,7,3,2,2,1.57
South Africa,2021,9,5,2,2,1.89
Albania,2025,10,6,2,2,2.0
Albania,2024,13,4,2,7,1.08
Albania,2023,9,5,3,1,2.0
Albania,2022,10,1,4,5,0.7
Albania,2021,12,6,1,5,1.58
Germany,2025,10,6,1,3,1.9
Germany,2024,15,10,4,1,2.27
Germany,2023,11,3,2,6,1.0
Germany,2022,12,4,6,2,1.5
Germany,2021,16,11,2,3,2.19
Saudi Arabia,2025,20,9,5,6,1.6
Saudi Arabia,2024,18,7,5,6,1.44
Saudi Arabia,2023,11,3,1,7,0.91
Saudi Arabia,2022,15,5,4,6,1.27
Saudi Arabia,2021,14,10,2,2,2.29
Algeria,2026,2,1,0,1,1.5
Algeria,2025,22,14,5,3,2.14
Algeria,2024,14,8,4,2,2.0
Algeria,2023,16,12,3,1,2.44
Algeria,2022,14,8,2,4,1.86
Algeria,2021,17,13,4,0,2.53
Argentina,2025,9,7,1,1,2.44
Argentina,2024,16,13,1,2,2.5
Argentina,2023,10,9,0,1,2.7
Argentina,2022,16,14,1,1,2.69
Argentina,2021,16,11,5,0,2.38
Australia,2025,10,7,0,3,2.1
Australia,2024,16,9,5,2,2.0
Australia,2023,8,4,1,3,1.63
Australia,2022,13,8,1,4,1.92
Australia,2021,10,7,2,1,2.3
Austria,2025,10,6,2,2,2.0
Austria,2024,14,8,3,3,1.93
Austria,2023,10,7,2,1,2.3
Austria,2022,10,3,2,5,1.1
Austria,2021,16,7,2,7,1.44
Belgium,2025,10,6,3,1,2.1
Belgium,2024,14,4,4,6,1.14
Belgium,2023,10,8,2,0,2.6
Belgium,2022,12,5,3,4,1.5
Belgium,2021,17,11,3,3,2.12
Bolivia,2026,2,0,1,1,0.5
Bolivia,2025,11,3,1,7,0.91
Bolivia,2024,14,4,1,9,0.93
Bolivia,2023,11,2,1,8,0.64
Bolivia,2022,7,1,0,6,0.43
Bolivia,2021,17,5,2,10,1.0
Bosnia and Herzegovina,2025,10,6,2,2,2.0
Bosnia and Herzegovina,2024,9,0,2,7,0.22
Bosnia and Herzegovina,2023,10,3,0,7,0.9
Bosnia and Herzegovina,2022,8,4,2,2,1.75
Bosnia and Herzegovina,2021,13,2,6,5,0.92
Brazil,2025,10,5,2,3,1.7
Brazil,2024,14,6,6,2,1.71
Brazil,2023,9,3,1,5,1.11
Brazil,2022,13,10,1,2,2.38
Brazil,2021,16,12,3,1,2.44
Cabo Verde,2025,10,6,3,1,2.1
Cabo Verde,2024,16,7,2,7,1.44
Cabo Verde,2023,9,3,3,3,1.33
Cabo Verde,2022,11,6,1,4,1.73
Cabo Verde,2021,9,5,2,2,1.89
Canada,2026,1,1,0,0,3.0
Canada,2025,14,7,3,4,1.71
Canada,2024,14,7,3,4,1.71
Canada,2023,11,5,2,4,1.55
Canada,2022,15,7,1,7,1.47
Canada,2021,19,13,4,2,2.26
Qatar,2025,12,3,3,6,1.0
Qatar,2024,20,12,4,4,2.0
Qatar,2023,14,6,2,6,1.43
Qatar,2022,11,4,3,4,1.36
Qatar,2021,24,13,4,7,1.79
Colombia,2025,10,5,4,1,1.9
Colombia,2024,16,10,2,4,2.0
Colombia,2023,13,8,5,0,2.23
Colombia,2022,9,7,0,2,2.33
Colombia,2021,17,5,8,4,1.35
Korea Republic,2025,13,8,3,2,2.08
Korea Republic,2024,17,11,5,1,2.24
Korea Republic,2023,10,5,3,2,1.8
Korea Republic,2022,20,12,3,5,1.95
Korea Republic,2021,10,7,2,1,2.3
Côte d'Ivoire,2026,2,1,0,1,1.5
Côte d'Ivoire,2025,13,9,2,2,2.23
Côte d'Ivoire,2024,17,11,2,4,2.06
Côte d'Ivoire,2023,12,6,3,3,1.75
Côte d'Ivoire,2022,12,6,2,4,1.67
Côte d'Ivoire,2021,10,7,2,1,2.3
Croatia,2025,10,8,1,1,2.5
Croatia,2024,13,6,4,3,1.69
Croatia,2023,10,6,1,3,1.9
Croatia,2022,16,10,4,2,2.13
Croatia,2021,16,8,4,4,1.75
Curaçao,2025,11,5,5,1,1.82
Curaçao,2024,8,6,1,1,2.38
Curaçao,2023,10,1,3,6,0.6
Curaçao,2022,7,3,0,4,1.29
Curaçao,2021,10,5,2,3,1.7
Denmark,2025,10,6,2,2,2.0
Denmark,2024,14,5,6,3,1.5
Denmark,2023,10,7,1,2,2.2
Denmark,2022,11,5,1,5,1.45
Denmark,2021,18,13,1,4,2.22
Egypt,2026,4,2,0,2,1.5
Egypt,2025,15,8,5,2,1.93
Egypt,2024,15,7,6,2,1.8
Egypt,2023,10,8,1,1,2.5
Egypt,2022,15,10,0,5,2.0
Egypt,2021,15,9,4,2,2.07
Ecuador,2025,10,3,7,0,1.6
Ecuador,2024,15,7,3,5,1.6
Ecuador,2023,10,6,2,2,2.0
Ecuador,2022,13,3,8,2,1.31
Ecuador,2021,18,6,6,6,1.33
Scotland,2025,10,6,1,3,1.9
Scotland,2024,13,3,3,7,0.92
Scotland,2023,10,5,2,3,1.7
Scotland,2022,10,4,3,3,1.5
Scotland,2021,15,8,4,3,1.87
Slovakia,2025,10,4,1,5,1.3
Slovakia,2024,14,7,3,4,1.71
Slovakia,2023,10,7,1,2,2.2
Slovakia,2022,10,3,3,4,1.2
Slovakia,2021,15,4,7,4,1.27
Spain,2025,10,7,2,1,2.3
Spain,2024,17,14,2,1,2.59
Spain,2023,10,9,0,1,2.7
Spain,2022,13,7,3,3,1.85
Spain,2021,18,11,4,3,2.06
USA,2025,18,11,1,6,1.89
USA,2024,14,6,2,6,1.43
USA,2023,18,11,3,4,2.0
USA,2022,16,6,6,4,1.5
USA,2021,22,17,3,2,2.45
France,2025,10,7,1,2,2.2
France,2024,16,9,4,3,1.94
France,2023,10,8,1,1,2.5
France,2022,15,8,2,5,1.73
France,2021,16,10,5,1,2.19
Ghana,2025,10,6,1,3,1.9
Ghana,2024,14,2,7,5,0.93
Ghana,2023,12,5,2,5,1.42
Ghana,2022,16,5,4,7,1.19
Ghana,2021,10,5,3,2,1.8
Haiti,2025,12,5,3,4,1.5
Haiti,2024,9,8,1,0,2.78
Haiti,2023,10,4,3,3,1.5
Haiti,2022,5,3,1,1,2.0
