Team,Matches,Wins,Draws,Losses,Win_Rate,Draw_Rate,Loss_Rate,Total_Points,Points_Per_Match
Argentina,71,58,8,5,81.69,11.27,7.04,182,2.56
Morocco,98,75,15,8,76.53,15.31,8.16,240,2.45
Japan,72,52,8,12,72.22,11.11,16.67,164,2.28
IR Iran,66,47,8,11,71.21,12.12,16.67,149,2.26
Spain,72,50,13,9,69.44,18.06,12.5,163,2.26
Portugal,70,48,9,13,68.57,12.86,18.57,153,2.19
Senegal,83,56,17,10,67.47,20.48,12.05,185,2.23
England,73,49,13,11,67.12,17.81,15.07,160,2.19
Algeria,89,59,19,11,66.29,21.35,12.36,196,2.2
France,71,45,13,13,63.38,18.31,18.31,148,2.08
Côte d'Ivoire,69,43,11,15,62.32,15.94,21.74,140,2.03
Uzbekistan,63,39,11,13,61.9,17.46,20.63,128,2.03
Netherlands,69,42,14,13,60.87,20.29,18.84,140,2.03
Korea Republic,74,45,16,13,60.81,21.62,17.57,151,2.04
Australia,61,37,10,14,60.66,16.39,22.95,121,1.98
Brazil,66,39,13,14,59.09,19.7,21.21,130,1.97
Egypt,78,46,17,15,58.97,21.79,19.23,155,1.99
Croatia,69,40,14,15,57.97,20.29,21.74,134,1.94
Norway,56,32,12,12,57.14,21.43,21.43,108,1.93
Türkiye,65,37,11,17,56.92,16.92,26.15,122,1.88
USA,92,52,15,25,56.52,16.3,27.17,171,1.86
Germany,68,38,15,15,55.88,22.06,22.06,129,1.9
Belgium,67,37,16,14,55.22,23.88,20.9,127,1.9
Tunisia,82,45,15,22,54.88,18.29,26.83,150,1.83
Austria,63,34,11,18,53.97,17.46,28.57,113,1.79
Sweden,63,34,7,22,53.97,11.11,34.92,109,1.73
Haiti,52,28,9,15,53.85,17.31,28.85,93,1.79
Colombia,69,37,19,13,53.62,27.54,18.84,130,1.88
Canada,78,41,16,21,52.56,20.51,26.92,139,1.78
Mexico,101,52,25,24,51.49,24.75,23.76,181,1.79
Iraq,76,38,18,20,50.0,23.68,26.32,132,1.74
Czechia,64,32,15,17,50.0,23.44,26.56,111,1.73
Cabo Verde,59,29,12,18,49.15,20.34,30.51,99,1.68
Jordan,74,36,12,26,48.65,16.22,35.14,120,1.62
Panama,89,43,21,25,48.31,23.6,28.09,150,1.69
South Africa,62,29,22,11,46.77,35.48,17.74,109,1.76
Congo DR,75,35,17,23,46.67,22.67,30.67,122,1.63
Switzerland,69,32,21,16,46.38,30.43,23.19,117,1.7
Uruguay,65,30,20,15,46.15,30.77,23.08,110,1.69
New Zealand,48,22,6,20,45.83,12.5,41.67,72,1.5
Qatar,83,38,17,28,45.78,20.48,33.73,131,1.58
Scotland,62,28,13,21,45.16,20.97,33.87,97,1.56
Saudi Arabia,83,35,18,30,42.17,21.69,36.14,123,1.48
Curaçao,50,21,11,18,42.0,22.0,36.0,74,1.48
Ecuador,70,27,28,15,38.57,40.0,21.43,109,1.56
Ghana,66,23,18,25,34.85,27.27,37.88,87,1.32
Bosnia and Herzegovina,54,17,14,23,31.48,25.93,42.59,65,1.2
Paraguay,59,18,15,26,30.51,25.42,44.07,69,1.17
