Grupo,Time,N_Simulacoes,P_1lugar_%,P_2lugar_%,P_3lugar_%,P_4lugar_%,P_Classifica_%,Pts_Medio,Pts_Mediana,Pts_DP,Pts_Min,Pts_Max,Gols_Pro_Medio,Gols_Contra_Medio,Saldo_Medio
A,México,500000,35.22,26.84,21.38,16.55,76.32,4.76,5.0,2.29,0,9,4.77,3.84,0.93
A,Coreia do Sul,500000,26.17,26.48,24.99,22.37,69.3,4.25,4.0,2.27,0,9,4.23,4.04,0.19
A,República Theca,500000,22.06,24.93,26.49,26.53,64.64,3.97,4.0,2.26,0,9,4.02,4.25,-0.22
A,África do Sul,500000,16.55,21.76,27.14,34.55,56.4,3.51,3.0,2.22,0,9,3.69,4.59,-0.9
B,Canadá,500000,31.89,27.04,22.68,18.39,74.05,4.59,4.0,2.28,0,9,4.5,3.81,0.69
B,Suíça,500000,30.59,27.01,23.32,19.07,73.15,4.51,4.0,2.28,0,9,4.36,3.8,0.56
B,Catar,500000,20.35,23.96,26.83,28.85,62.2,3.82,4.0,2.24,0,9,3.87,4.3,-0.43
B,Bósnia,500000,17.16,21.99,27.17,33.68,57.26,3.56,3.0,2.22,0,9,3.68,4.5,-0.82
C,Marrocos,500000,36.16,27.82,21.11,14.91,78.05,4.88,5.0,2.27,0,9,4.6,3.5,1.1
C,Brasil,500000,30.48,27.72,23.44,18.35,73.84,4.53,4.0,2.27,0,9,4.34,3.75,0.59
C,Escócia,500000,19.5,24.23,27.78,28.49,62.25,3.8,4.0,2.23,0,9,3.82,4.28,-0.46
C,Haiti,500000,13.86,20.22,27.68,38.25,52.53,3.28,3.0,2.17,0,9,3.43,4.66,-1.23
D,Estados Unidos,500000,29.82,26.37,23.48,20.33,71.85,4.42,4.0,2.28,0,9,4.4,3.95,0.45
D,Turquia,500000,27.22,26.1,24.59,22.08,69.72,4.29,4.0,2.27,0,9,4.22,3.97,0.25
D,Austrália,500000,25.76,25.63,25.03,23.57,68.09,4.2,4.0,2.27,0,9,4.15,4.03,0.13
D,Paraguai,500000,17.19,21.89,26.89,34.02,57.01,3.56,3.0,2.22,0,9,3.68,4.51,-0.83
